Timestamp,hash-rate
2020-09-20 00:00:00,135165071.8298032
2020-09-21 00:00:00,139219832.7594406
2020-09-22 00:00:00,123857644.31701957
2020-09-23 00:00:00,136339422.42648664
2020-09-24 00:00:00,131538738.5382301
2020-09-25 00:00:00,162263115.42307216
2020-09-26 00:00:00,144020516.64769718
2020-09-27 00:00:00,145940790.2029998
2020-09-28 00:00:00,123857644.31701957
2020-09-29 00:00:00,135379285.64883536
2020-09-30 00:00:00,149781337.3136051
2020-10-01 00:00:00,119056960.428763
2020-10-02 00:00:00,130578601.76057878
2020-10-03 00:00:00,144980653.4253485
2020-10-04 00:00:00,151592064.050859
2020-10-05 00:00:00,134303836.4311328
2020-10-06 00:00:00,124710705.25748046
2020-10-07 00:00:00,144856280.7221504
2020-10-08 00:00:00,155408725.01316798
2020-10-09 00:00:00,136222462.66586328
2020-10-10 00:00:00,137181775.78322852
2020-10-11 00:00:00,134303836.4311328
2020-10-12 00:00:00,142937654.4874199
2020-10-13 00:00:00,159245977.48262888
2020-10-14 00:00:00,142937654.4874199
2020-10-15 00:00:00,144856280.7221504
2020-10-16 00:00:00,148693533.1916113
2020-10-17 00:00:00,152419671.45957646
2020-10-18 00:00:00,119288755.69898501
2020-10-19 00:00:00,124259120.51977606
2020-10-20 00:00:00,143146506.838782
2020-10-21 00:00:00,129229485.3405671
2020-10-22 00:00:00,136187996.08967456
2020-10-23 00:00:00,130223558.30472532
2020-10-24 00:00:00,151099090.55204767
2020-10-25 00:00:00,116306536.80651039
2020-10-25 23:00:00,109348026.05740291
2020-10-26 23:00:00,98413223.45166263
2020-10-27 23:00:00,99407296.41582084
2020-10-28 23:00:00,107359880.12908651
2020-10-29 23:00:00,110342099.02156112
2020-10-30 23:00:00,112330244.94987755
2020-10-31 23:00:00,124259120.51977606
2020-11-01 23:00:00,94436931.5950298
2020-11-02 23:00:00,124332259.04844461
2020-11-03 23:00:00,132689483.0919183
2020-11-04 23:00:00,122675182.48120748
2020-11-05 23:00:00,127682332.78656289
2020-11-06 23:00:00,121840657.43031493
2020-11-07 23:00:00,115164457.02317438
2020-11-08 23:00:00,154387134.41512507
2020-11-09 23:00:00,122675182.48120748
2020-11-10 23:00:00,122675182.48120748
2020-11-11 23:00:00,133524008.14281088
2020-11-12 23:00:00,115998982.07406694
2020-11-13 23:00:00,118502557.22674464
2020-11-14 23:00:00,125178757.63388519
2020-11-15 23:00:00,135534841.86269382
2020-11-16 23:00:00,137334450.8705656
2020-11-17 23:00:00,147831351.5740483
2020-11-18 23:00:00,119839616.36476107
2020-11-19 23:00:00,146956609.8487581
2020-11-20 23:00:00,147831351.5740483
2020-11-21 23:00:00,152205060.20049945
2020-11-22 23:00:00,128587033.61766332
2020-11-23 23:00:00,118964874.63947083
2020-11-24 23:00:00,135584967.41998515
2020-11-25 23:00:00,131211258.79353401
2020-11-26 23:00:00,134710225.69469494
2020-11-27 23:00:00,134710225.69469494
2020-11-28 23:00:00,135399801.26976258
2020-11-29 23:00:00,107610727.917311
2020-11-30 23:00:00,144750713.6586838
2020-12-01 23:00:00,124752259.79794464
2020-12-02 23:00:00,149512250.29219317
2020-12-03 23:00:00,137132255.0450689
2020-12-04 23:00:00,137132255.0450689
2020-12-05 23:00:00,129513796.43145394
2020-12-06 23:00:00,142846099.00528008
2020-12-07 23:00:00,137132255.0450689
2020-12-08 23:00:00,132370718.41155955
2020-12-09 23:00:00,123799952.47124276
2020-12-10 23:00:00,131418411.08485769
2020-12-11 23:00:00,125704567.1246465
2020-12-12 23:00:00,148463110.1109586
2020-12-13 23:00:00,134574371.39496115
2020-12-14 23:00:00,129933875.82961763
2020-12-15 23:00:00,132718173.16882376
2020-12-16 23:00:00,119724785.58586197
