Date,Open,High,Low,Close,Adj Close,Volume
2020-09-20,9371.749023,9371.749023,9134.080078,9233.060547,9233.060547,20849016226
2020-09-21,9230.236328,9257.602539,8844.999023,8892.470703,8892.470703,24551007302
2020-09-22,8890.231445,9027.472656,8853.247070,9001.320313,9001.320313,20176313835
2020-09-23,9002.171875,9101.178711,8735.136719,8772.329102,8772.329102,19719330666
2020-09-24,8773.714844,9221.979492,8755.554688,9204.958984,9204.958984,19717512499
2020-09-25,9206.607422,9251.717773,9102.904297,9201.561523,9201.561523,18255215522
2020-09-26,9201.516602,9266.642578,9183.749023,9245.956055,9245.956055,15565494497
2020-09-27,9244.667969,9289.196289,9150.542969,9260.791992,9260.791992,15485796814
2020-09-28,9258.398438,9375.318359,9177.140625,9181.616211,9181.616211,19457448274
2020-09-29,9174.025391,9245.747070,9086.585938,9239.493164,9239.493164,17424812000
2020-09-30,9236.581055,9242.628906,9133.970703,9202.312500,9202.312500,17708870998
2020-10-01,9200.088867,9291.785156,8941.975586,9045.818359,9045.818359,23142396876
2020-10-02,9046.721680,9100.071289,8908.237305,9033.982422,9033.982422,19738616311
2020-10-03,9032.823242,9058.670898,8985.176758,9017.194336,9017.194336,14589002752
2020-10-04,9019.265625,9135.671875,8988.048828,9116.553711,9116.553711,14971906230
2020-10-05,9119.628906,9164.278320,9081.076172,9164.278320,9164.278320,16443101212
2020-10-06,9160.696289,9162.735352,9003.417969,9049.572266,9049.572266,18969566681
2020-10-07,9047.988281,9082.510742,9028.558594,9076.464844,9076.464844,14987907671
2020-10-08,9075.180664,9307.559570,8985.269531,9283.325195,9283.325195,18664266950
2020-10-09,null,null,null,null,null,null
2020-10-10,9348.946289,9671.505859,9345.856445,9548.226563,9548.226563,19337565645
2020-10-11,9547.990234,9660.181641,9541.690430,9634.763672,9634.763672,16900028171
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,9733.354492,9808.739258,9625.677734,9731.630859,9731.630859,20522814473
2020-10-15,9729.158203,9885.982422,9654.080078,9819.465820,9819.465820,20917288325
2020-10-16,9825.853516,9856.470703,9583.981445,9663.431641,9663.431641,21879882839
2020-10-17,9663.431641,9719.392578,9633.250000,9695.355469,9695.355469,16329869109
2020-10-18,9693.545898,9800.714844,9686.372070,9800.714844,9800.714844,15604278573
2020-10-19,9810.681641,10009.772461,9745.417969,9977.561523,9977.561523,20275212031
2020-10-20,9980.907227,10141.070313,9923.708984,10073.855469,10073.855469,26135679089
2020-10-21,10071.101563,11117.054688,10060.009766,10820.051758,10820.051758,36631380852
2020-10-22,10801.443359,11132.668945,10736.342773,10973.163086,10973.163086,29392142845
2020-10-23,10977.951172,10989.454102,10769.776367,10901.197266,10901.197266,24425701103
2020-10-24,10901.226563,11081.199219,10862.593750,11050.004883,11050.004883,20689002227
2020-10-25,11050.005859,11236.409180,10883.090820,10998.767578,10998.767578,20600295208
2020-10-26,10998.790039,11197.131836,10850.927734,11072.263672,11072.263672,24948286976
2020-10-27,11072.258789,11680.981445,11059.917969,11589.126953,11589.126953,28645479084
2020-10-28,11589.124023,11747.317383,11027.510742,11295.668945,11295.668945,30527966335
2020-10-29,11295.680664,11680.389648,11082.621094,11506.926758,11506.926758,48380804004
2020-10-30,11506.917969,11721.341797,11254.017578,11602.596680,11602.596680,26193042074
2020-10-31,11602.605469,12013.033203,11524.329102,11801.327148,11801.327148,25952880449
2020-11-01,11801.327148,11870.724609,11670.634766,11799.999023,11799.999023,21005546036
2020-11-02,11799.931641,11864.221680,11373.821289,11640.819336,11640.819336,26434834249
2020-11-03,11640.786133,11894.548828,11439.025391,11860.727539,11860.727539,25395821174
2020-11-04,11860.885742,12135.489258,11646.151367,12045.607422,12045.607422,29928308319
2020-11-05,12045.629883,13285.183594,12017.630859,13184.150391,13184.150391,34573885747
2020-11-06,13184.049805,13478.116211,12818.151367,13109.102539,13109.102539,33550195535
2020-11-07,13109.102539,13253.010742,12146.514648,12492.260742,12492.260742,29496299788
2020-11-08,12492.260742,13168.985352,12416.766602,13016.102539,13016.102539,22393766713
2020-11-09,13016.125977,13296.104492,12587.059570,12967.122070,12967.122070,28881204700
2020-11-10,12967.151367,13050.800781,12797.622070,12938.198242,12938.198242,21639901436
2020-11-11,12938.204102,13515.277344,12935.483398,13329.259766,13329.259766,25274513391
2020-11-12,13329.225586,13812.294922,13192.206055,13789.074219,13789.074219,28953189833
2020-11-13,13789.156250,13946.995117,13527.681641,13786.818359,13786.818359,26698221339
2020-11-14,13786.818359,13786.818359,13306.398438,13575.874023,13575.874023,23219132003
2020-11-15,13575.875000,13622.787109,13339.960938,13469.739258,13469.739258,19968642321
2020-11-16,13469.730469,14190.856445,13412.812500,14095.125000,14095.125000,26583558821
2020-11-17,14069.474609,14987.178711,13968.500000,14873.701172,14873.701172,32879731316
2020-11-18,14873.519531,15496.166016,14623.433594,15030.301758,15030.301758,41420945978
2020-11-19,15030.180664,15315.511719,14693.525391,15015.780273,15015.780273,31170043042
2020-11-20,15015.774414,15827.933594,14960.790039,15705.179688,15705.179688,31199715895
